season,as_of_date,ranking_type,scoring_profile,league_size,position,position_rank,tier_number,tier_rank,tier_size,tier_value_multiplier,player_id,player_name,player_slug,team,bye_week,age,experience,adp_round_pick,adp_overall,risk_score,upside_score,tags,is_my_guy,is_value,is_bust,is_sleeper,is_rookie,is_injury_concern,is_breakout,source_page,source_cheatsheet_id,source_url
2026,2026-08-31,redraft,The Fear Boners,12,QB,1,1,1,1,1,19801,Josh Allen,josh-allen,BUF,7,,9,2.09,21,2.6,9.7,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,2,2,1,1,0.95,19781,Lamar Jackson,lamar-jackson,BAL,13,,9,3.07,31.2,5.5,9,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,3,3,1,1,0.87,21831,Jalen Hurts,jalen-hurts,PHI,10,,7,5.12,60,3.8,5.8,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,4,4,1,5,0.85,23235,Jayden Daniels,jayden-daniels,WAS,7,,3,6.07,66.6,4.7,6.2,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,5,4,2,5,0.85,21693,Joe Burrow,joe-burrow,CIN,6,,7,5.03,51.4,5.5,8.9,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,6,4,3,5,0.85,24958,Drake Maye,drake-maye,NE,11,,3,4.11,47.1,4.1,8.2,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,7,4,4,5,0.85,26082,Jaxson Dart,jaxson-dart,NYG,8,,2,8.11,94.5,5.7,8.2,breakout,0,0,0,0,0,0,1,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,8,4,5,5,0.85,24927,Caleb Williams,caleb-williams,CHI,10,,3,6.11,71,5.8,7.8,my_guy,1,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,9,5,1,2,0.82,22490,Trevor Lawrence,trevor-lawrence,JAX,7,,6,9.05,100.7,4.9,7.7,breakout,0,0,0,0,0,0,1,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,10,5,2,2,0.82,18055,Dak Prescott,dak-prescott,DAL,14,,11,7.06,77.5,4.1,7.7,value,0,1,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,11,6,1,10,0.795,21681,Justin Herbert,justin-herbert,LAC,7,,7,7.10,82.1,4.8,7.8,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,12,6,2,10,0.795,25069,Bo Nix,bo-nix,DEN,10,,3,10.09,116.5,4.6,6.8,injured,0,0,0,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,13,6,3,10,0.795,17922,Jared Goff,jared-goff,DET,6,,11,11.12,131.7,2.8,7.2,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,14,6,4,10,0.795,9038,Matthew Stafford,matthew-stafford,LAR,11,,18,8.11,95.3,4.4,5.1,value,0,1,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,15,6,5,10,0.795,23241,Brock Purdy,brock-purdy,SF,8,,5,11.03,123.3,4.2,7.5,value,0,1,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,16,6,6,10,0.795,21841,Jordan Love,jordan-love,GB,11,,7,13.07,150.7,3.3,6.2,bust,0,0,1,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,17,6,7,10,0.795,23187,Tyler Shough,tyler-shough,NO,8,,2,16.07,187.3,4.3,7.3,sleeper,0,0,0,1,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,18,6,8,10,0.795,20889,Kyler Murray,kyler-murray,MIN,6,,8,14.06,161.6,7.5,7.5,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,19,6,9,10,0.795,19790,Baker Mayfield,baker-mayfield,TB,10,,9,12.11,143.3,4.1,6.8,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,20,6,10,10,0.795,18890,Patrick Mahomes,patrick-mahomes,KC,5,,10,10.02,110,5.3,8.2,bust|injured,0,0,1,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,21,7,1,1,0.725,23118,Malik Willis,malik-willis,MIA,6,,5,18.04,208.4,5.3,8,sleeper,0,0,0,1,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,22,8,1,6,0.66,25323,Cam Ward,cameron-ward,TEN,9,,2,20.02,229.5,4.6,6,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,23,8,2,6,0.66,23239,C.J. Stroud,cj-stroud,HOU,8,,4,18.02,205.7,4.2,6.1,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
